model_name,train_class,const,project_age_q,quarters_to_delivery,remaining_inventory_share,log_avg_price_sqm_q,log_total_lots,log_price_to_market_year_ratio,class_group_Комфорт,class_group_Неизвестно,class_group_Премиум,class_group_Эконом,class_group_Элитный,quarter_num_2,quarter_num_3,quarter_num_4,log_remaining_lots_feat,__alpha__,__kappa__
NB_feature_remaining_lots,Неизвестно,3.681504231514781,,,-0.6293217235532933,-0.7318987865705021,,0.4157058962380962,,,,,,0.12879453938033003,0.09186343453600428,0.014027208433606626,0.25177450884893143,1.5,
Poisson_feature_remaining_lots,Неизвестно,3.6181186079604726,,,-0.22478704303321714,-1.0009875276011897,,0.24125315849468665,,,,,,0.27652303607134193,0.09697837401818098,-0.24030508532720682,-0.04204373247646914,,
BetaBinomial,Неизвестно,-1.8411037236557812,,,-0.9141544728344302,-0.11329201624130204,,-0.021071220058600227,,,,,,-0.07421832243620817,0.0051373475513861394,-0.2990706168498917,,,2.6858745210138237
NB_offset,Премиум,-2.6584364537505496,-0.19616742461547151,-0.11237520177276734,-1.9291054066275855,-0.3967893980345114,-0.1959074763420153,0.17056911051008838,,,,,,0.060442148239201854,0.39559962697918655,0.11651432343562135,,1.7527884177519457,
Poisson_offset,Премиум,-3.090682405271555,-0.08710563073004833,-0.03201741446555936,-1.4138221705820568,-0.18832437362322513,-0.4133156815900647,-0.029197007505634615,,,,,,0.10054105719325857,0.5446643979460051,0.16678488678958556,,,
NB_feature_remaining_lots,Премиум,2.8325119391029774,0.054755307974881234,-0.25442597618299584,-0.22192922980339702,-0.04860622060665257,0.9661104020189899,-0.04941020870458346,,,,,,0.06395118033457367,0.2936777112004197,-0.04192724237362744,0.03365495598466045,1.5,
Poisson_feature_remaining_lots,Премиум,2.7550822538440785,0.08960117000670247,-0.1491937133727509,-0.30509706814927584,-0.12209567785682429,0.8798863353951818,0.0006673805638773844,,,,,,0.087688211422287,0.504729871760103,0.16261484320785147,-0.05794455757543038,,
BetaBinomial,Премиум,-2.4616494158791298,-0.25843462633449094,-0.14714388389904862,-1.1872506927314925,-0.20097602140517112,-0.0193744635005628,0.04328250511563595,,,,,,0.05348470659180225,0.2788880266810458,0.04501525049531076,,,7.621346798599771
NB_offset,Эконом,-4.402395186167216,1.885024549194003,-3.2430368389503945,2.775465723331355,1.69824933472701,1.851934808496956,-0.4733950275512342,,,,,,0.18360873040837783,0.35484257275564823,0.08367141714980329,,0.7,
Poisson_offset,Эконом,-3.7410901493286524,0.7129183274983184,-2.517904396913087,1.4072888863191342,1.536416825178166,0.871005589073268,-0.7842593085026844,,,,,,-0.011691020291950294,0.3709606947760972,-0.15737699108522243,,,
NB_feature_remaining_lots,Эконом,3.5257393886912443,1.8687586076893932,-3.3016574406905765,3.123413923197821,1.9463177179590516,2.4424145547725957,-0.46246538921820535,,,,,,0.14385156048517533,0.35817724380492727,0.07653501071816143,0.27075838281163955,0.7,
Poisson_feature_remaining_lots,Эконом,4.161281254590595,0.7173528866097418,-2.6418878383977233,1.7926318374760803,1.6801334880906653,1.4472762381754385,-0.6822417390811456,,,,,,-0.08131059164045773,0.3716664718989353,-0.1483138258409935,0.28900283599652443,,
BetaBinomial,Эконом,-3.795091378492302,1.3824761744370608,-2.5487568195204395,1.5775884588327809,1.2744164370599973,0.34483012990724016,-1.4034382440308752,,,,,,0.2249123876482535,0.4708502279515524,-0.20759038386396705,,,54.96978362521342
NB_offset,Элитный,-2.5757245206984214,-0.5275078904197243,-0.17841312075892024,-1.4243460675998014,-0.22860360720607087,-0.24533455075578753,0.2745879364408517,,,,,,-0.11856462853649108,0.3199364952815678,-0.02335641714918657,,1.5,
Poisson_offset,Элитный,-2.600776817197076,-0.13341158772557246,-0.007932105579615248,-0.9992847746241652,-0.4868121262193731,-0.47563863237414394,0.37453011884781495,,,,,,-0.12531555534241234,0.19357117804047996,-0.11351740327221499,,,
