quarter,n_deals,actual_log_price_median,baseline_market_log_price_q,geo_score_q,project_score_q,market_log_level_q,market_log_ret_q,market_price_sqm_q
2022Q3,14728,12.573046305173579,12.573046305173579,-0.010579421012268629,-0.04370553048813083,12.60864663944324,-0.024711898090334472,299133.91831526184
2022Q4,15609,12.548328091398776,12.700360920644137,-0.03213776841282089,-0.0421236045294293,12.60669210633447,-0.001954533108769141,298549.8221715316
2023Q1,13899,12.587890344632346,12.731268655210373,-0.03213776841282089,-0.02498519462453043,12.614199628669276,0.007507522334805117,300799.62628975755
2023Q2,16438,12.670435394885823,12.757540229591674,-0.013803678452275002,-0.004779151592488026,12.647175546272141,0.03297591760286522,310884.1290301527
2023Q3,24583,12.75175744630231,12.779871067815781,-0.013803678452275002,0.005400082293135072,12.704216014765253,0.05704046849311162,329132.6087887206
2023Q4,24599,12.82676100871742,12.79885228030627,-0.010579421012268629,-0.008872237479622978,12.765605853690616,0.061389838925363094,349971.0982721223
2024Q1,14347,12.84361197421329,12.814986310923187,0.036797536643249244,-0.02796966258129055,12.790814878445046,0.025209024754429876,358905.6711347302
2024Q2,20125,12.902885798195468,12.828700236947567,-0.010579421012268629,-0.008300561582642613,12.841057408441506,0.05024252999645995,377398.67779082054
2024Q3,12940,12.916379244684638,12.840357074068288,0.04237487141585687,-0.01709188647233089,12.817763904119023,-0.023293504322483116,368709.3355641325
2024Q4,19136,12.89804663679286,12.850265385620903,0.01970444024944864,-0.0038329402402634133,12.822821300831272,0.005057396712249584,370578.7681922249
2025Q1,15673,12.901966051758144,12.858687450440625,0.00855973366659693,-0.013166044299452603,12.842702005660813,0.019880704829541074,378019.85726189235
2025Q2,13686,12.91410843858387,12.865846205537387,-0.013803678452275002,-0.0065153514911122715,12.886382031536467,0.04368002587565378,394897.703371634
2025Q3,16370,12.972702602849923,12.871931147369637,-0.010579421012268629,-0.004284548793101889,12.944964324452107,0.058582292915639655,418722.7663615937
2025Q4,21961,13.073173133213556,12.877103347927049,-0.013315330774399066,0.00887255579525284,13.028315948190574,0.0833516237384675,455119.7946344488
2026Q1,2473,13.117784912210162,12.88149971840085,-0.010579421012268629,0.0025640991713888617,13.079414870724573,0.05109892253399906,478980.35868750385
