project_name,scenario_name,total_revenue,total_costs_excl_financing,total_interest_and_fees,total_debt_service_for_ratio,total_cfads,total_net_cash_flow,ending_escrow_balance,ending_project_cash_balance,peak_debt,ending_debt,min_dscr,min_iscr,max_liquidity_shortfall,final_effective_rate_annual,collateral_value_net,collateral_coverage_ratio,repaid_at_rvz,debt_fully_repaid,driver_summary
Люблинский парк,lublyanskiy_park_16,77552342817.79431,81657465140.88971,5517204383.570528,73647725676.9046,-4105122323.095401,-3.6954879760742188e-06,0.0,0.0,69977563200.0,1847041906.6659317,1.1275052024241776,119.80263583746266,8769529064.860245,0.03951850532998205,88726884966.72,1.1752719798561126,True,False,{}
Люблинский парк,lublyanskiy_park_17,51517882929.93531,80355742146.49677,10374579097.455904,48914988783.43853,-28837859216.561462,-1.1026859283447266e-06,0.0,0.0,69977563200.0,31437153514.017372,1.2826160748966082,31.759925963466504,11350527305.250214,0.07624331264566267,88726884966.72,1.1042255057526855,True,False,{}
Люблинский парк,lublyanskiy_park_18,42182429941.60613,79888969497.0803,16923340763.321165,40046308444.525826,-37706539555.47417,9.119510650634766e-06,0.0,0.0,69977563200.0,46854595518.795334,1.6689473694643389,19.627380882709964,16905554558.775282,0.12188061769344524,88726884966.72,1.0210122210485812,True,False,{}
Люблинский парк,lublyanskiy_park_19,50519579423.845436,80305826971.19226,11889426110.96021,47966600452.65315,-29786247547.34684,6.854534149169922e-06,0.0,0.0,69977563200.0,33900388858.30706,1.3379122953526243,30.08437547999029,12758308254.716473,0.08636930975471357,88726884966.72,1.0837931834735421,True,False,{}
Люблинский парк,lublyanskiy_park_20,45194263931.093956,80039561196.55469,16094419938.557049,42907550734.53925,-34845297265.46075,-1.9669532775878906e-06,0.0,0.0,69977563200.0,43164432404.01779,1.5655222393639516,22.020278098791923,16323967230.19644,0.11551528932002876,88726884966.72,1.030845133704996,True,False,{}
Люблинский парк,lublyanskiy_park_21,51005195988.475006,80330107799.42375,12849860219.630976,48427936189.05124,-29324911810.94875,4.172325134277344e-07,0.0,0.0,69977563200.0,34399487230.579735,1.3694607609037408,30.667535724741555,13759117277.45102,0.09273533642315293,88726884966.72,1.0712259455084145,True,False,{}
Люблинский парк,lublyanskiy_park_22,41815775942.93421,79870636797.14671,16580179660.055664,39697987145.78749,-38054860854.212494,9.5367431640625e-07,0.0,0.0,69977563200.0,46859755714.26817,1.655238691736738,19.52079573692941,16551110281.624187,0.11930826590107056,88726884966.72,1.025060058580448,True,False,{}
Люблинский парк,lublyanskiy_park_23,48368859197.886154,80198290959.8943,11519837997.067873,45923416237.99185,-31829431762.008152,-1.3113021850585938e-06,0.0,0.0,69977563200.0,35573984959.07602,1.338355031731676,27.904129851008364,12227065857.400902,0.08425730808609293,88726884966.72,1.088708150977362,True,False,{}
Люблинский парк,lublyanskiy_park_24,46377037190.76169,80098699859.53809,12906685252.13268,44031185331.2236,-33721662668.776394,-6.556510925292969e-07,0.0,0.0,69977563200.0,38853063120.90907,1.4071279684656024,25.33166296223812,13416941257.78275,0.09359741794299825,88726884966.72,1.0704915182763772,True,False,{}
Люблинский парк,lublyanskiy_park_25,42782327570.290726,79918964378.51454,16388586715.254448,40616211191.7762,-37136636808.22381,-2.6226043701171875e-06,0.0,0.0,69977563200.0,45749938723.47825,1.6305069763984417,21.303717863633686,16541728342.877562,0.11723327013941261,88726884966.72,1.0273340313743522,True,False,{}
Люблинский парк,lublyanskiy_park_26,45643526477.21113,80062024323.86055,17137294746.128407,43334350153.35057,-34418497846.64943,3.337860107421875e-06,0.0,0.0,69977563200.0,43780507792.77783,1.6183042793518014,22.769237692738486,17437076935.53948,0.12202647095814738,88726884966.72,1.0185046163030935,True,False,{}
Люблинский парк,lublyanskiy_park_27,55427019779.25861,80551198988.96294,10218030509.531658,52628668790.295685,-25124179209.704315,-7.748603820800781e-07,0.0,0.0,69977563200.0,27566924919.23597,1.2635402066142685,38.17333131346315,11559529698.499542,0.07384977802556815,88726884966.72,1.106381047418748,True,False,{}
Люблинский парк,lublyanskiy_park_28,63468008797.45682,80953248439.87283,6954784495.738004,60267608357.58397,-17485239642.41603,3.7550926208496094e-06,0.0,0.0,69977563200.0,16664739338.154037,1.1686042963533012,63.85591931478135,9156338014.629057,0.05044622612394233,88726884966.72,1.1533105075335612,True,False,{}
Люблинский парк,lublyanskiy_park_29,60962822494.57537,80827989124.72878,7009764669.022148,57887681369.8466,-19865166630.15339,3.4570693969726562e-06,0.0,0.0,69977563200.0,19099646499.175545,1.1722156615275998,54.21807030792629,8955597566.83743,0.051293356837352685,88726884966.72,1.1524868757319418,True,False,{}
Люблинский парк,lublyanskiy_park_30,61340865290.664085,80846891264.5332,7060348547.486419,58246822026.130875,-19506025973.869118,-4.798173904418945e-06,0.0,0.0,69977563200.0,18791089721.355537,1.1722305554676113,53.91740234012901,9011802413.633242,0.051443218077205345,88726884966.72,1.1517301410966005,True,False,{}
Люблинский парк,lublyanskiy_park_31,61269024393.05884,80843299219.65294,6891959945.679151,58178573173.40591,-19574274826.594097,4.76837158203125e-07,0.0,0.0,69977563200.0,18690949972.273247,1.1697303199219147,56.31542563286618,8889538283.176256,0.05028821380890285,88726884966.72,1.154253094540074,True,False,{}
Люблинский парк,lublyanskiy_park_32,53176975165.68599,80438696758.2843,10775985326.309978,50491126407.40169,-27261721592.59831,-2.9206275939941406e-06,0.0,0.0,69977563200.0,30262422118.908295,1.2903469834351564,35.62944779953003,11964473735.232166,0.07786683846226845,88726884966.72,1.0987366696066894,True,False,{}
Люблинский парк,lublyanskiy_park_33,55593151008.18865,80559505550.40942,8818418349.852503,52786493457.77923,-24966354542.22078,-6.9141387939453125e-06,0.0,0.0,69977563200.0,26009488092.073273,1.2240722970883633,38.485326007822906,10175677300.211376,0.0642705849125986,88726884966.72,1.1260331202370317,True,False,{}
Люблинский парк,lublyanskiy_park_34,80061459648.37498,81782920982.41875,5529995371.480606,75507558571.4806,-1721461334.0437622,523828094.4756261,0.0,523828094.47561646,69977563200.0,0.0,1.1335451081731585,123.67896220797407,8907775894.299355,0.03949704060093516,88726884966.72,1.1750728886661734,True,True,{}
Люблинский парк,lublyanskiy_park_35,59919264614.47529,80775811230.72377,9149740460.26809,56896301383.75152,-20856546616.248474,-1.9669532775878906e-06,0.0,0.0,69977563200.0,22231002276.51657,1.2245904554556073,50.80063685197883,10988303818.721527,0.06585659778063797,88726884966.72,1.1213181905915506,True,False,{}
Люблинский парк,lublyanskiy_park_36,56364702304.15429,80598083115.20772,8970373570.90685,53519467188.94659,-24233380811.053425,2.205371856689453e-06,0.0,0.0,69977563200.0,25428469581.960266,1.226930952742866,40.65127561034807,10424189651.091518,0.06569545100272096,88726884966.72,1.1238657854250196,True,False,{}
Люблинский парк,lublyanskiy_park_37,53570331351.1793,80458364567.55896,8929203287.821882,50864814783.62032,-26888033216.37967,8.940696716308594e-08,0.0,0.0,69977563200.0,28041951704.20156,1.2328929584315518,35.44435475607313,10118468438.340982,0.06567446159277197,88726884966.72,1.1244521720505898,True,False,{}
Люблинский парк,lublyanskiy_park_38,51023848761.201454,80331040438.06007,10344772902.452766,48445656323.14139,-29307191676.858616,-8.046627044677734e-07,0.0,0.0,69977563200.0,31876679779.31138,1.2809867018747614,29.543765907511546,11191074837.761124,0.07607315820981624,88726884966.72,1.1046352642625716,True,False,{}
Люблинский парк,lublyanskiy_park_39,63726812346.691895,80966188617.3346,6873847442.526567,60513471729.3573,-17239376270.642693,-5.364418029785156e-07,0.0,0.0,69977563200.0,16337938913.169266,1.1670845244677073,66.41033010013572,9122671486.903168,0.04976271259992416,88726884966.72,1.1545251313529177,True,False,{}
Люблинский парк,lublyanskiy_park_40,44773957567.1477,80018545878.35738,15981428009.955173,42508259688.7903,-35244588311.20969,5.304813385009766e-06,0.0,0.0,69977563200.0,43450731521.16487,1.5654946076040315,21.622366121475007,16171632894.36202,0.11575823547083881,88726884966.72,1.032200165658113,True,False,{}
Люблинский парк,lublyanskiy_park_41,56965641030.48939,80628130051.52448,8312442393.776939,54090358978.964905,-23662489021.03509,-1.1026859283447266e-06,0.0,0.0,69977563200.0,24199646614.812035,1.2086229902060328,42.1734864305277,9832097645.112144,0.06097634679066952,88726884966.72,1.1333104946638637,True,False,{}
Люблинский парк,lublyanskiy_park_42,41637211727.35641,79861708586.36781,17293894590.794884,39528351140.98859,-38224496859.011406,5.7220458984375e-06,0.0,0.0,69977563200.0,47743106649.806305,1.7137119456741754,20.218337427104693,17338623862.46102,0.12481805304655962,88726884966.72,1.0166770123104167,True,False,{}
Люблинский парк,lublyanskiy_park_43,52351501870.612625,80397423093.53062,10760276255.790745,49706926777.08201,-28045921222.917995,1.7881393432617188e-06,0.0,0.0,69977563200.0,31030912678.70874,1.2921036301442657,33.42756122495518,11833883029.995293,0.07829875773887653,88726884966.72,1.0989504495634144,True,False,{}
Люблинский парк,lublyanskiy_park_44,51371567562.71513,80348426378.13576,10042137875.802937,48775989184.579384,-28976858815.42062,1.1324882507324219e-06,0.0,0.0,69977563200.0,31243711891.22355,1.2742096338369109,32.53844875854577,11054074077.604927,0.073586804270649,88726884966.72,1.108813001971461,True,False,{}
Люблинский парк,lublyanskiy_park_45,52034669303.52817,80381581465.1764,10458809864.083172,49405935838.35177,-28346912161.64824,-1.430511474609375e-06,0.0,0.0,69977563200.0,31030437225.731407,1.2833610006249287,32.62867637750191,11487943882.393763,0.0759823254721752,88726884966.72,1.103069191049077,True,False,{}
Люблинский парк,lublyanskiy_park_46,57837901074.83461,80671743053.74173,8025384939.427596,54919006021.09289,-22833841978.90711,2.2351741790771484e-06,0.0,0.0,69977563200.0,23083942118.33471,1.1998423826422906,44.25555499829465,9632485827.39594,0.0589264234997214,88726884966.72,1.1374811732516024,True,False,{}
Люблинский парк,lublyanskiy_park_47,36649632079.33618,79612329603.96681,21313454913.553947,34790150475.36938,-42962697524.63062,-1.5497207641601562e-06,0.0,0.0,69977563200.0,56500867638.18457,2.293737456536271,14.662232732219223,20668683317.234814,0.15179437048212752,88726884966.72,0.9719125364157456,True,False,{}
Люблинский парк,lublyanskiy_park_48,55758265256.75301,80567761262.83765,8469122028.8300705,52943351993.91537,-24809496006.084637,-8.046627044677734e-07,0.0,0.0,69977563200.0,25503333234.914703,1.214006463826972,38.429717518084075,9828250095.796404,0.06213537298219265,88726884966.72,1.131046961486039,True,False,{}
Люблинский парк,lublyanskiy_park_49,72541594132.70552,81406927706.63527,5487894692.4360485,68887514426.07025,-8865333573.929752,-7.271766662597656e-06,0.0,0.0,69977563200.0,6577943466.365799,1.1325541177357206,112.06154661145,8489681939.471321,0.03956815688189047,88726884966.72,1.1757284384756002,True,False,{}
Люблинский парк,lublyanskiy_park_50,38625208246.53363,79711108412.32668,19998051785.79111,36666947834.206955,-41085900165.79305,1.1920928955078125e-07,0.0,0.0,69977563200.0,53308667151.58416,2.0251293018052263,16.350899476258565,19503347307.042244,0.1440240431717186,88726884966.72,0.9861214616952793,True,False,{}
