position,model,feature,coefficient
6,baseline,key_rate_max_q,0.2214367005654086
6,baseline,mortgage_total_volume_mln_rub_q,-0.15276289220892095
6,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.030104258561749475
6,baseline,imoex_max_q,-0.0851106075181061
6,baseline_plus_trend,__intercept__,7.706014437334922
6,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.2310628903707636
6,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.03371537299741985
6,baseline_plus_trend,rgbi_eoq,-0.044752288796086115
6,baseline_plus_trend,usd_rub_min_q,0.009589930576746408
6,baseline_plus_trend,key_rate_max_q,0.14518301166461434
6,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.008214873263493374
6,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.03628283476492
6,baseline_plus_trend,imoex_max_q,0.0032378624826378713
6,baseline_plus_trend,trend_3,0.13257773663774758
6,baseline_plus_trend,trend_6,0.10063445317720442
6,baseline_plus_trend,trend_10,0.08251659398873298
7,baseline,__intercept__,12.571984361109028
7,baseline,mortgage_avg_ticket_mln_rub_q,0.3998942355401012
7,baseline,subsidized_mortgage_2020_active_q,0.30548341793151484
7,baseline,rgbi_eoq,-0.6401377713415782
7,baseline,usd_rub_min_q,-0.7749146774125338
7,baseline,key_rate_max_q,0.2045997441010673
7,baseline,mortgage_total_volume_mln_rub_q,-0.16147060779967826
7,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.029646647753751587
7,baseline,imoex_max_q,-0.10507543938283213
7,baseline_plus_trend,__intercept__,7.612372588221767
7,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.24899920848735252
7,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.08076797234054123
7,baseline_plus_trend,rgbi_eoq,-0.039172529735901705
7,baseline_plus_trend,usd_rub_min_q,0.000874975918526479
7,baseline_plus_trend,key_rate_max_q,0.13377197195695253
7,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.007950320938378616
7,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.03692088076588831
7,baseline_plus_trend,imoex_max_q,0.0024646423328777687
7,baseline_plus_trend,trend_3,0.14844282302057757
7,baseline_plus_trend,trend_6,0.10043682259565093
7,baseline_plus_trend,trend_10,0.07204136529106421
8,baseline,__intercept__,11.497432392376984
8,baseline,mortgage_avg_ticket_mln_rub_q,0.32929024027416637
8,baseline,subsidized_mortgage_2020_active_q,0.20529408296542467
8,baseline,rgbi_eoq,-0.24930574947188114
8,baseline,usd_rub_min_q,-0.10095262790714551
8,baseline,key_rate_max_q,0.35535537199152895
8,baseline,mortgage_total_volume_mln_rub_q,-0.03452527776822718
8,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.030739361840411122
8,baseline,imoex_max_q,-0.013257400242988738
8,baseline_plus_trend,__intercept__,7.74442727229947
8,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.258724925217721
8,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.0841839621844433
8,baseline_plus_trend,rgbi_eoq,-0.05032057475885327
8,baseline_plus_trend,usd_rub_min_q,0.01076835137946785
8,baseline_plus_trend,key_rate_max_q,0.1570522776629988
8,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.010277968446943318
8,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.0387019887460932
8,baseline_plus_trend,imoex_max_q,0.004029180790858398
8,baseline_plus_trend,trend_3,0.1467512379296393
8,baseline_plus_trend,trend_6,0.09529105126141227
8,baseline_plus_trend,trend_10,0.06528900157871709
9,baseline,__intercept__,11.838084291502408
9,baseline,mortgage_avg_ticket_mln_rub_q,0.146351159370127
9,baseline,subsidized_mortgage_2020_active_q,0.3026267445582924
9,baseline,rgbi_eoq,-1.2351870330812629
9,baseline,usd_rub_min_q,-0.707200260987241
9,baseline,key_rate_max_q,-0.15585235813482268
9,baseline,mortgage_total_volume_mln_rub_q,-1.086736584112487
9,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.029945346165135334
9,baseline,imoex_max_q,3.7361370672402647
9,baseline_plus_trend,__intercept__,16.427456399172932
9,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.16908979829476323
9,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.30029209539983803
9,baseline_plus_trend,rgbi_eoq,-1.061260121524922
9,baseline_plus_trend,usd_rub_min_q,-0.18862599594469742
9,baseline_plus_trend,key_rate_max_q,-0.100219909590133
9,baseline_plus_trend,mortgage_total_volume_mln_rub_q,-2.71230113787339
9,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.005684226158479078
9,baseline_plus_trend,imoex_max_q,2.8456168888109663
9,baseline_plus_trend,trend_3,0.934062214040587
9,baseline_plus_trend,trend_6,-0.15307875187729536
9,baseline_plus_trend,trend_10,-1.06677593559197
